transaction_id,txn_date,amount,party_name,gstin,category,invoice_number,is_tds_deducted,is_anomaly
TXN-2025-00001,2025-06-13,19878.05,Singhania Textiles Pvt Ltd,27BBBBB2654P5Z8,SAC 9983,INV/2025/38785,True,0
TXN-2025-00002,2025-06-25,11960.78,Verma Stationery Traders,27BBBBB7924C5Z3,HSN 4819,INV/2025/17331,True,0
TXN-2025-00003,2025-02-28,22429.91,Bharat Petroleum Dealer,09CCCCC2169F3Z9,HSN 8471,INV/2025/51347,True,0
TXN-2025-00004,2025-04-13,45180.64,Gupta Steel & Hardware Corp,19DDDDD4611P5Z1,HSN 8471,INV/2025/37653,True,0
TXN-2025-00005,2025-05-26,1000000.0,Chawla IT Services,27BBBBB3677P7Z5,SAC 9965,INV/2025/51245,True,1
TXN-2025-00006,2025-02-24,11077.71,Kapur Electronics,07AAAAA1750B5Z2,HSN 2710,INV/2025/61856,True,0
TXN-2025-00007,2025-06-14,47257.67,Aggarwal Auto Components,07AAAAA6881C5Z1,HSN 7208,INV/2025/44718,True,0
TXN-2025-00008,2025-02-05,24684.92,Sharma Logistics & Freight,33EEEEE1434F4Z9,SAC 9965,INV/2025/83579,True,0
TXN-2025-00009,2025-05-18,9176.68,Gupta Steel & Hardware Corp,19DDDDD4611P5Z1,SAC 9965,INV/2025/86622,True,0
TXN-2025-00010,2025-04-20,20620.64,Chawla IT Services,27BBBBB3677P7Z5,SAC 9983,INV/2025/62350,True,0
TXN-2025-00011,2025-04-03,9221.25,Sharma Logistics & Freight,33EEEEE1434F4Z9,HSN 7208,INV/2025/76784,True,0
TXN-2025-00012,2025-05-07,9204.21,Reliance Industries Ltd,27BBBBB2679F2Z7,HSN 4819,INV/2025/16175,True,0
TXN-2025-00013,2025-01-29,16213.02,Infosys Limited,07AAAAA1488A4Z4,SAC 9965,INV/2025/30969,True,0
TXN-2025-00014,2025-06-24,2891.05,Mehta Tech Solutions LLP,27BBBBB6514A2Z7,SAC 9983,INV/2025/18326,True,0
TXN-2025-00015,2025-04-09,3361.24,Mehta Tech Solutions LLP,27BBBBB6514A2Z7,SAC 9983,INV/2025/71348,True,0
TXN-2025-00016,2025-05-16,8519.99,Gupta Steel & Hardware Corp,19DDDDD4611P5Z1,SAC 9983,INV/2025/11504,True,0
TXN-2025-00017,2025-06-24,5941.61,Singhania Textiles Pvt Ltd,27BBBBB2654P5Z8,HSN 8471,INV/2025/99353,True,0
TXN-2025-00018,2025-05-18,17178.22,Apex Packaging Solutions,09CCCCC3664C6Z4,HSN 5208,INV/2025/94012,True,0
